Country,pop_total,pop_under_18,pop_under_5,under_five_mort_male,under_five_mort_female,infant_mort,neonatal_mort,age_5_14_mort_rate,stillbirth_rate,under_5_death,neonatal_deaths,age_5_14_deaths,stillbirth,univ_health,vacc_bcg,vacc_dtp1,vacc_dtp3,vacc_polio3,vacc_mcv1,vacc_mcv2,vacc_hepb3,vacc_hib3,vacc_rota,vacc_pcv3,vacc_pab_tetanus,ado_mort,ado_deaths,vacc_hpv_girls,mothers_cash_benefit,gini_coef,palma_index,vmir,gdp_capita,water_house,sanitation_house,hygiene_house,mat_leave_benefits,pat_leave_benefits,total_unemployement_rate_m,total_unemployement_rate_f,financial_inclusion_m,financial_inclusion_f
Madagascar,"28,916","13,292","4,151",71,61,45,24,21,18,"57,839","21,571","15,623","16,743",35,52,65,55,52,39,24,55,55,48,54,75,18,"12,027",-,-,43,2.1,0.6,523,53,12,-,Yes,No,2,2,-,-
Malawi,"19,890","10,052","3,034",46,37,31,19,12,16,"26,800","12,608","6,771","10,668",48,89,95,93,89,90,74,93,93,92,93,90,12,"5,970",12,-,45,2.4,0.6,412,70,27,21,No,No,5,7,-,-
Malaysia,"33,574","9,311","2,572",8,7,6,4,2,5,"3,866","2,153",908,"2,590",76,99,98,95,95,96,84,94,94,-,-,95,3,"1,684",14,47,41,2.0,0.7,"11,414",97,-,98,No,No,3,4,88,82
Maldives,521,132,38,6,5,5,4,1,5,44,30,11,36,69,99,97,96,97,99,96,96,96,-,-,99,3,19,41,26,31,1.2,0.7,"10,627",100,99,-,No,Yes,6,5,-,-
Mali,"21,905","11,904","4,004",102,92,62,33,21,23,"85,222","30,484","13,891","21,858",42,83,82,77,72,70,33,77,77,70,77,87,18,"9,639",-,-,33,1.3,0.7,879,83,45,63,Yes,Yes,7,8,-,-
Malta,527,82,24,6,5,5,4,1,3,27,18,4,14,81,-,99,99,99,90,93,99,99,-,99,-,2,6,99,100,28,1.0,0.8,"29,737",100,100,-,Yes,Yes,3,4,-,-
Marshall Islands,42,16,4,33,26,25,14,6,11,26,11,6,9,-,83,97,86,85,85,58,89,72,53,61,-,8,7,27,-,-,-,-,"3,788",89,84,69,No,No,-,-,-,-
Mauritania,"4,615","2,252",695,45,36,32,23,8,17,"6,070","3,463","1,014","2,604",40,79,75,68,66,63,-,68,68,53,65,83,10,"1,094",-,-,33,1.3,0.7,"1,679",72,50,-,Yes,Yes,10,12,-,-
Mauritius,"1,299",272,66,18,15,15,11,2,10,223,142,26,140,65,95,93,92,93,77,64,92,92,86,94,97,4,74,55,-,37,1.6,0.7,"11,099",100,-,93,Yes,Yes,4,9,93,87
Mexico,"126,705","38,144","9,893",14,12,11,8,2,7,"25,592","15,274","5,372","12,531",74,99,83,78,78,99,97,80,78,77,83,98,6,"12,749",1,11,46,2.6,0.6,"9,946",100,92,-,No,Yes,4,4,41,33
Micronesia (Federated States of),113,42,11,28,22,21,13,5,11,58,31,12,27,48,59,95,72,72,64,38,79,56,42,70,-,7,17,32,-,40,1.8,0.7,"3,568",-,-,-,No,No,-,-,-,-
